latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.334,-118.52,331.7,0.3,0.6,2016-05-14,2010,N,VIIRS,l,1.0NRT,305.6,0,D
35.177,-119.122,310.1,0.4,0.6,2016-05-14,1035,N,VIIRS,n,1.0NRT,287.5,0,N
34.333,-118.522,300.5,0.6,0.5,2016-04-22,0905,N,VIIRS,n,1.0NRT,280.8,0,N
35.061,-118.957,335.4,0.5,0.4,2016-04-30,2115,N,VIIRS,l,1.0NRT,307,0,D
35.061,-118.951,338.6,0.5,0.4,2016-04-30,2115,N,VIIRS,l,1.0NRT,311.4,0,D
34.292,-118.801,298.2,0.4,0.4,2016-04-30,0955,N,VIIRS,n,1.0NRT,281.3,0,N
35.004,-118.847,301.6,0.4,0.4,2016-04-30,0955,N,VIIRS,n,1.0NRT,282.3,0,N
35.01,-118.841,308.5,0.4,0.4,2016-04-30,0955,N,VIIRS,n,1.0NRT,284.7,0,N
35.25,-119.579,296.4,0.4,0.4,2016-04-30,0955,N,VIIRS,n,1.0NRT,285.8,0,N
34.291,-118.802,296.3,0.4,0.5,2016-04-24,1010,N,VIIRS,n,1.0NRT,281.2,0,N
34.32,-118.511,299.6,0.4,0.5,2016-04-24,1010,N,VIIRS,n,1.0NRT,283.4,0,N
34.321,-118.509,295,0.4,0.5,2016-04-24,1010,N,VIIRS,n,1.0NRT,283.5,0,N
34.336,-118.519,308.8,0.4,0.5,2016-04-24,1010,N,VIIRS,n,1.0NRT,283,0,N
34.292,-118.8,302.5,0.4,0.4,2016-06-28,0950,N,VIIRS,n,1.0NRT,291.3,0,N
34.32,-118.512,309.4,0.4,0.4,2016-06-28,0950,N,VIIRS,n,1.0NRT,290.6,0,N
34.335,-118.517,305.8,0.4,0.4,2016-06-28,0950,N,VIIRS,n,1.0NRT,291.5,0,N
34.336,-118.521,308.4,0.4,0.4,2016-06-28,0950,N,VIIRS,n,1.0NRT,291.7,0,N
34.43,-118.646,302.3,0.4,0.4,2016-06-28,0950,N,VIIRS,n,1.0NRT,292,0,N
34.655,-119.232,340.2,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,305,0,D
34.655,-119.227,338,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,305.5,0,D
34.656,-119.218,349.3,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,306.6,0,D
34.651,-119.215,349.2,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,306.1,0,D
34.651,-119.211,367,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,306,0,D
34.651,-119.207,367,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,305.7,0,D
34.658,-119.227,339.5,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,305.7,0,D
34.654,-119.219,343.2,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,305.3,0,D
34.654,-119.215,341.7,0.4,0.6,2016-07-07,2140,N,VIIRS,n,1.0NRT,305.2,0,D
